Charge,ChargeTitle,ChargeSubtitle
14-104(a),Antitheft,Theft
14-104(b),Antitheft,Theft
14-104(c),Antitheft,Theft
14-104(d),Antitheft,Theft
14-105(e),Antitheft,Theft
14-106(a),Antitheft,Falsifying Evidence
14-107(b),Antitheft,Falsifying Evidence
14-107(c),Antitheft,Falsifying Evidence
14-107(d),Antitheft,Falsifying Evidence
14-107(f),Antitheft,Falsifying Evidence
14-107(g),Antitheft,Falsifying Evidence
14-107(h),Antitheft,Falsifying Evidence
14-107(j),Antitheft,Falsifying Evidence
14-107(k),Antitheft,Falsifying Evidence
14-108(a),Antitheft,Falsifying Evidence
14-110(b),Antitheft,Falsifying Evidence
14-110(c),Antitheft,Falsifying Evidence
14-110(d),Antitheft,Falsifying Evidence
14-110(e),Antitheft,Falsifying Evidence
14-110(f),Antitheft,Falsifying Evidence
14-110(g),Antitheft,Falsifying Evidence
15-106(b),Licensing,Commercial Driving
15-111(a),Licensing,Commercial Driving
15-302(a),Licensing,Commercial Driving
15-305.1(a5),Licensing,Commercial Driving
15-311.2(c1),Licensing,Commercial Driving
15-311.2(c3),Licensing,Commercial Driving
15-311.2(c4),Licensing,Commercial Driving
15-312(a),Licensing,Commercial Driving
15-314(g),Licensing,Commercial Driving
15-402(a),Licensing,Commercial Driving
15-602,Licensing,Commercial Driving
15-802,Licensing,Commercial Driving
16-101(a),Licensing,Driving without Proper License
16-101(a1),Licensing,Driving without Proper License
16-101(a2),Licensing,Driving without Proper License
16-101(b),Licensing,Driving without Proper License
16-104.1(a),Licensing,Driving without Proper License
16-104.1(b),Licensing,Driving without Proper License
16-104.1(c),Licensing,Driving without Proper License
16-104.1(d),Licensing,Driving without Proper License
16-105(b1),Licensing,Driving without Proper License
16-105(b2),Licensing,Driving without Proper License
16-105(c),Licensing,Driving without Proper License
16-111.1(f),Licensing,Driving without Proper License
16-112(b),Licensing,Driving without Proper License
16-112(c),Licensing,Driving without Proper License
16-112(d),Licensing,Driving without Proper License
16-112(e),Licensing,Driving without Proper License
16-113(h),Licensing,Driving without Proper License
16-113(i),Licensing,Driving without Proper License
16-113(j),Licensing,Driving without Proper License
16-113(k),Licensing,Driving without Proper License
16-114(b),Licensing,Driving without Proper License
16-114(d),Licensing,Driving without Proper License
16-115(f),Licensing,Driving without Proper License
16-115(g),Licensing,Driving without Proper License
16-115(h),Licensing,Driving without Proper License
16-116(a),Licensing,Driving without Proper License
16-116(b),Licensing,Driving without Proper License
16-116(c),Licensing,Driving without Proper License
16-122(c),Licensing,Driving without Proper License
16-201,Licensing,Driving without Proper License
16-201(b),Licensing,Driving without Proper License
16-205(e15),Licensing,Driving without Proper License
16-211(a),Licensing,Driving without Proper License
16-211(b),Licensing,Driving without Proper License
16-211(c),Licensing,Driving without Proper License
16-211(d),Licensing,Driving without Proper License
16-211(e),Licensing,Driving without Proper License
16-301(a),Licensing,Driving without Proper License
16-301(b),Licensing,Driving without Proper License
16-301(c),Licensing,Driving without Proper License
16-301(d),Licensing,Driving without Proper License
16-301(e),Licensing,Driving without Proper License
16-301(f),Licensing,Driving without Proper License
16-301(g),Licensing,Driving without Proper License
16-301(h),Licensing,Driving without Proper License
16-301(i),Licensing,Driving without Proper License
16-301(j),Licensing,Driving without Proper License
16-301(k),Licensing,Driving without Proper License
16-301(l),Licensing,Driving without Proper License
16-301(m),Licensing,Driving without Proper License
16-301(n),Licensing,Driving without Proper License
16-301(o),Licensing,Driving without Proper License
16-301(p),Licensing,Driving without Proper License
16-301(q),Licensing,Driving without Proper License
16-302,Licensing,Driving without Proper License
16-303(a),Licensing,Driving without Proper License
16-303(b),Licensing,Driving without Proper License
16-303(c),Licensing,Driving without Proper License
16-303(d),Licensing,Driving without Proper License
16-303(e),Licensing,Driving without Proper License
16-303(f),Licensing,Driving without Proper License
16-303(g),Licensing,Driving without Proper License
16-303(h),Licensing,Driving without Proper License
16-303(i),Licensing,Driving without Proper License
16-304(a),Licensing,Driving without Proper License
16-304(b),Licensing,Driving without Proper License
16-305(a),Licensing,Driving without Proper License
16-305(b),Licensing,Driving without Proper License
16-804,Licensing,Commerical Driving
16-807(a),Licensing,Commerical Driving
16-807(e2),Licensing,Commerical Driving
16-808(a3),Licensing,Commerical Driving
16-808(a5),Licensing,Commerical Driving
16-808(a6),Licensing,Commerical Driving
16-808(a7),Licensing,Commerical Driving
16-808(a91),Licensing,Commerical Driving
16-808(b1),Licensing,Commerical Driving
16-808(c),Licensing,Commerical Driving
16-810(d),Licensing,Commerical Driving
16-813(a),Licensing,Commerical Driving
16-815(a),Licensing,Commerical Driving
16-815(b),Licensing,Commerical Driving
16-815(c),Licensing,Commerical Driving
16-816(b),Licensing,Commerical Driving
17-104,Insurance,Driving Uninsured
17-104.1,Insurance,Driving Uninsured
17-104.2(b1),Insurance,Driving Uninsured
17-104.2(b2),Insurance,Driving Uninsured
17-106(b),Insurance,Driving Uninsured
17-106(d),Insurance,Driving Uninsured
17-107,Insurance,Driving Uninsured
17-107(a1),Insurance,Driving Uninsured
17-107(a2),Insurance,Driving Uninsured
17-110,Insurance,Falsifying Evidence
18-103(a),For-Rent Vehicles,Improper Rental Usage
18-103(c),For-Rent Vehicles,Improper Rental Usage
18-106(a),For-Rent Vehicles,Improper Rental Usage
18-106(b),For-Rent Vehicles,Improper Rental Usage
20-102(a1),Accident,Failure to Remain on Scene
20-102(a2),Accident,Failure to Remain on Scene
20-102(b1),Accident,Failure to Remain on Scene
20-103(a),Accident,Failure to Remain on Scene
20-103(b),Accident,Failure to Remain on Scene
20-104(a),Accident,Failure to Remain on Scene
20-104(b),Accident,Failure to Remain on Scene
20-104(c),Accident,Failure to Remain on Scene
20-104(d),Accident,Failure to Remain on Scene
20-105(a),Accident,Failure to Remain on Scene
20-105(b),Accident,Failure to Remain on Scene
20-105(c),Accident,Failure to Remain on Scene
20-105.1,Accident,Failure to Remain on Scene
20-106,Accident,Failure to Remain on Scene
20-107(a),Accident,Driving Uninsured
20-107(b),Accident,Driving Uninsured
20-107(d),Accident,Driving Uninsured
20-108,Accident,Falsifying Evidence
21-1001(a),Rules of Road,Improper Parking
